sample_id,video_id,clip_id,modality,original_duration_or_length,unit,feature_dim,valid_length,aligned_granularity,padding_rule
-vxjVxOeScU_4,-vxjVxOeScU,4,text,123.0,characters,768,29,token_position,BERT padding vector
-vxjVxOeScU_4,-vxjVxOeScU,4,vision,9.033,seconds,20,19,0.5s,zero padding
-wMB_hJL-3o_7,-wMB_hJL-3o,7,audio,5.93,seconds,25,12,0.5s,zero padding
-wMB_hJL-3o_7,-wMB_hJL-3o,7,text,107.0,characters,768,25,token_position,BERT padding vector
-wMB_hJL-3o_7,-wMB_hJL-3o,7,vision,6.0,seconds,20,13,0.5s,zero padding
-wny0OAz3g8_0,-wny0OAz3g8,0,audio,3.23,seconds,25,7,0.5s,zero padding
-wny0OAz3g8_0,-wny0OAz3g8,0,text,53.0,characters,768,13,token_position,BERT padding vector
-wny0OAz3g8_0,-wny0OAz3g8,0,vision,3.3,seconds,20,7,0.5s,zero padding
-wny0OAz3g8_1,-wny0OAz3g8,1,audio,6.73,seconds,25,14,0.5s,zero padding
-wny0OAz3g8_1,-wny0OAz3g8,1,text,141.0,characters,768,30,token_position,BERT padding vector
-wny0OAz3g8_1,-wny0OAz3g8,1,vision,6.8,seconds,20,14,0.5s,zero padding
-wny0OAz3g8_2,-wny0OAz3g8,2,audio,6.48,seconds,25,13,0.5s,zero padding
-wny0OAz3g8_2,-wny0OAz3g8,2,text,137.0,characters,768,30,token_position,BERT padding vector
-wny0OAz3g8_2,-wny0OAz3g8,2,vision,6.533,seconds,20,14,0.5s,zero padding
-wny0OAz3g8_3,-wny0OAz3g8,3,audio,6.05,seconds,25,13,0.5s,zero padding
-wny0OAz3g8_3,-wny0OAz3g8,3,text,117.0,characters,768,22,token_position,BERT padding vector
-wny0OAz3g8_3,-wny0OAz3g8,3,vision,6.1,seconds,20,13,0.5s,zero padding
-wny0OAz3g8_5,-wny0OAz3g8,5,audio,6.7,seconds,25,14,0.5s,zero padding
-wny0OAz3g8_5,-wny0OAz3g8,5,text,125.0,characters,768,29,token_position,BERT padding vector
-wny0OAz3g8_5,-wny0OAz3g8,5,vision,6.767,seconds,20,14,0.5s,zero padding
-wny0OAz3g8_7,-wny0OAz3g8,7,audio,7.87,seconds,25,16,0.5s,zero padding
-wny0OAz3g8_7,-wny0OAz3g8,7,text,157.0,characters,768,33,token_position,BERT padding vector
-wny0OAz3g8_7,-wny0OAz3g8,7,vision,7.967,seconds,20,16,0.5s,zero padding
-wny0OAz3g8_9,-wny0OAz3g8,9,audio,6.0,seconds,25,12,0.5s,zero padding
-wny0OAz3g8_9,-wny0OAz3g8,9,text,118.0,characters,768,24,token_position,BERT padding vector
-wny0OAz3g8_9,-wny0OAz3g8,9,vision,6.067,seconds,20,13,0.5s,zero padding
-yRb-Jum7EQ_1,-yRb-Jum7EQ,1,audio,29.06,seconds,25,50,0.5s,zero padding
-yRb-Jum7EQ_1,-yRb-Jum7EQ,1,text,326.0,characters,768,50,token_position,BERT padding vector
-yRb-Jum7EQ_1,-yRb-Jum7EQ,1,vision,29.133,seconds,20,50,0.5s,zero padding
-yRb-Jum7EQ_5,-yRb-Jum7EQ,5,audio,13.0,seconds,25,26,0.5s,zero padding
-yRb-Jum7EQ_5,-yRb-Jum7EQ,5,text,156.0,characters,768,33,token_position,BERT padding vector
-yRb-Jum7EQ_5,-yRb-Jum7EQ,5,vision,13.1,seconds,20,27,0.5s,zero padding
-yRb-Jum7EQ_6,-yRb-Jum7EQ,6,audio,11.2,seconds,25,23,0.5s,zero padding
-yRb-Jum7EQ_6,-yRb-Jum7EQ,6,text,116.0,characters,768,26,token_position,BERT padding vector
-yRb-Jum7EQ_6,-yRb-Jum7EQ,6,vision,11.167,seconds,20,23,0.5s,zero padding
